"","scientific_name","order_name","family_name","genus_name","category","Aquaculture","Climate_Change","Conflict","Crops","Dams_Water","Fire","Fishing","Geo_Event","Hunting","Inv_Disease","Livestock","Logging","Other_Develop","Plantations","Pollution","Rec_Work","Mass.g","functional_group","accepted_spp_name","combined_fn_group","combined_body_mass","phyl_eltonian_ftn_gp"
"5091","Cryptotis orophila","EULIPOTYPHLA","SORICIDAE","Cryptotis","DD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9,"Invertivore","Cryptotis orophila","Invertivore",4.9,"Invertivore"
"5092","Myoictis wallacei","DASYUROMORPHIA","DASYURIDAE","Myoictis","LC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,"Omnivore","Myoictis wallacei","Omnivore",230,"Omnivore"
"5093","Geomys breviceps","RODENTIA","GEOMYIDAE","Geomys","LC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.2,"Herbivore_terrestrial","Geomys breviceps","Herbivore_terrestrial",105.2,"Herbivore"
"5094","Pteropus intermedius","CHIROPTERA","PTEROPODIDAE","Pteropus","DD",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,971.6,"Herbivore_terrestrial","Pteropus intermedius","Herbivore_terrestrial",971.6,"FruitNectSeed"
"5095","Marmosops ocellatus","DIDELPHIMORPHIA","DIDELPHIDAE","Marmosops","LC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,"Herbivore_terrestrial","Marmosops ocellatus","Herbivore_terrestrial",37,"Omnivore"
"5096","Lepilemur ahmansoni","PRIMATES","LEPILEMURIDAE","Lepilemur","CR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,610,"Herbivore_terrestrial","Lepilemur ahmansoni","Herbivore_terrestrial",610,"Omnivore"
"5097","Marmosa paraguayana","DIDELPHIMORPHIA","DIDELPHIDAE","Marmosa","LC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.4,"Omnivore","Marmosa paraguayana","Omnivore",74.4,"Omnivore"
"5098","Cryptonanus chacoensis","DIDELPHIMORPHIA","DIDELPHIDAE","Cryptonanus","LC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.5,"Herbivore_terrestrial","Cryptonanus chacoensis","Herbivore_terrestrial",15.5,"Omnivore"
"5099","Papio kindae","PRIMATES","CERCOPITHECIDAE","Papio","LC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13000,"Herbivore_terrestrial","Papio kindae","Herbivore_terrestrial",13000,"Omnivore"
"5100","Perodicticus edwardsi","PRIMATES","LORISIDAE","Perodicticus","LC",0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,1210,"Herbivore_terrestrial","Perodicticus edwardsi","Herbivore_terrestrial",1210,"Omnivore"
"5101","Colobus caudatus","PRIMATES","CERCOPITHECIDAE","Colobus","VU",0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,16498,"Herbivore_terrestrial","Colobus caudatus","Herbivore_terrestrial",16498,"Omnivore"
"5102","Cebuella niveiventris","PRIMATES","CALLITRICHIDAE","Cebuella","VU",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,70,"Herbivore_terrestrial","Cebuella niveiventris","Herbivore_terrestrial",70,"Omnivore"
"5103","Perodicticus ibeanus","PRIMATES","LORISIDAE","Perodicticus","LC",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1014,"Herbivore_terrestrial","Perodicticus ibeanus","Herbivore_terrestrial",1014,"Omnivore"
"5104","Cercopithecus denti","PRIMATES","CERCOPITHECIDAE","Cercopithecus","LC",0,0,0,1,0,0,0,0,2,0,0,2,2,0,0,0,4050,"Herbivore_terrestrial","Cercopithecus denti","Herbivore_terrestrial",4050,"FruitNectSeed"
"5105","Presbytis sumatranus","PRIMATES","CERCOPITHECIDAE","Presbytis","EN",0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,NA,NA,NA,"Herbivore_terrestrial",6405.45454545455,"Omnivore"
"5106","Trachypithecus crepusculus","PRIMATES","CERCOPITHECIDAE","Trachypithecus","EN",0,0,0,2,0,0,0,0,2,0,0,0,2,2,0,0,8400,"Herbivore_terrestrial","Trachypithecus crepusculus","Herbivore_terrestrial",8400,"Omnivore"
"5107","Cebuella pygmaea","PRIMATES","CALLITRICHIDAE","Cebuella","VU",0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,NA,NA,NA,"Herbivore_terrestrial",70,"Omnivore"
"5108","Cercopithecus campbelli","PRIMATES","CERCOPITHECIDAE","Cercopithecus","NT",0,0,0,2,0,0,0,0,2,0,0,1,1,2,0,0,4100,"Herbivore_terrestrial","Cercopithecus campbelli","Herbivore_terrestrial",4100,"FruitNectSeed"
"5109","Cercopithecus lowei","PRIMATES","CERCOPITHECIDAE","Cercopithecus","VU",0,0,0,2,0,0,0,0,2,0,2,2,2,0,0,0,3950,"Herbivore_terrestrial","Cercopithecus lowei","Herbivore_terrestrial",3950,"FruitNectSeed"
"5110","Cercocebus atys","PRIMATES","CERCOPITHECIDAE","Cercocebus","VU",0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,7643.4,"Herbivore_terrestrial","Cercocebus atys","Herbivore_terrestrial",7643.4,"FruitNectSeed"
"5111","Piliocolobus rufomitratus","PRIMATES","CERCOPITHECIDAE","Piliocolobus","CR",0,0,2,2,2,0,0,0,0,0,2,2,2,0,0,2,NA,NA,NA,"Herbivore_terrestrial",9033.41818181818,"Herbivore"
"5112","Elephantulus pilicaudus","MACROSCELIDEA","MACROSCELIDIDAE","Elephantulus","DD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,"Invertivore","Elephantulus pilicaudus","Invertivore",45,"Invertivore"
"5113","Voalavo antsahabensis","RODENTIA","NESOMYIDAE","Voalavo","EN",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21.8,"Herbivore_terrestrial","Voalavo antsahabensis","Herbivore_terrestrial",21.8,"Omnivore"
"5114","Tarsius tumpara","PRIMATES","TARSIIDAE","Tarsius","CR",0,0,0,2,0,0,0,1,3,0,0,2,0,0,0,0,104,"Invertivore","Tarsius tumpara","Invertivore",104,"Invertivore"
"5115","Sotalia guianensis","ARTIODACTYLA","DELPHINIDAE","Sotalia","NT",0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,80000,"Aquatic_predator","Sotalia guianensis","Aquatic_predator",80000,"Aquatic_predator"
"5116","Sotalia fluviatilis","ARTIODACTYLA","DELPHINIDAE","Sotalia","EN",0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0,55000,"Aquatic_predator","Sotalia fluviatilis","Aquatic_predator",55000,"Aquatic_predator"
"5117","Tarsius wallacei","PRIMATES","TARSIIDAE","Tarsius","VU",0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,106,"Invertivore","Tarsius wallacei","Invertivore",106,"Invertivore"
"5118","Neophocaena phocaenoides","ARTIODACTYLA","PHOCOENIDAE","Neophocaena","VU",0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,32500,"Aquatic_predator","Neophocaena phocaenoides","Aquatic_predator",32500,"Aquatic_predator"
"5119","Philander olrogi","DIDELPHIMORPHIA","DIDELPHIDAE","Philander","DD",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,417,"Omnivore","Philander olrogi","Omnivore",417,"Omnivore"
"5120","Monodelphis handleyi","DIDELPHIMORPHIA","DIDELPHIDAE","Monodelphis","DD",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,55.2,"Omnivore","Monodelphis handleyi","Omnivore",55.2,"Omnivore"
"5121","Thylamys pulchellus","DIDELPHIMORPHIA","DIDELPHIDAE","Thylamys","LC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.6,"Invertivore","Thylamys pulchellus","Invertivore",24.6,"Invertivore"
"5122","Thylamys citellus","DIDELPHIMORPHIA","DIDELPHIDAE","Thylamys","LC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.5,"Invertivore","Thylamys citellus","Invertivore",60.5,"Invertivore"
"5123","Thylamys fenestrae","DIDELPHIMORPHIA","DIDELPHIDAE","Thylamys","NT",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,19.5,"Invertivore","Thylamys fenestrae","Invertivore",19.5,"Invertivore"
"5124","Thylamys pusillus","DIDELPHIMORPHIA","DIDELPHIDAE","Thylamys","LC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,"Invertivore","Thylamys pusillus","Invertivore",41,"Invertivore"
