"","accpt_name","other_name"
"631","Leontocebus fuscicollis ssp. fuscicollis","Leontocebus fuscicollis"
"632","Leontocebus nigrifrons","Leontocebus fuscicollis"
"633","Leontocebus weddelli ssp. weddelli","Leontocebus fuscicollis"
"634","Leontocebus fuscicollis","Saguinus fuscicollis"
"635","Saimiri cassiquiarensis ssp. cassiquiarensis","Saimiri cassiquiarensis"
"636","Tarsius fuscus","Tarsius fuscomanus"
"637","Cheirogaleus thomasi","Opolemur thomasi"
"638","Erythrocebus poliophaeus","Erythrocebus albigenus"
"639","Hypsugo ariel","Pipistrellus ariel"
"640","Loxodonta cyclotis","Loxodonta africana"
"641","Cheracebus torquatus","Callicebus torquatus"
"642","Cheracebus torquatus","Cheracebus purinus"
"643","Aselliscus dongbacanus","Aselliscus dongbacana"
"644","Neomys milleri","Neomys anomals"
"645","Talpa ognevi","Talpa caucasica"
"646","Talpa ognevi","Talpa romana"
"647","Talpa talyschensis","Talpa orientalis"
