,taxonid,kingdom_name,phylum_name,class_name,order_name,family_name,genus_name,scientific_name,taxonomic_authority,infra_rank,infra_name,population,category,main_common_name
1037,8257,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Euneomys,Euneomys mordax,"Thomas, 1912",NA,NA,NA,LC,Biting Chincilla Mouse
1038,8258,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Euneomys,Euneomys petersoni,"J.A. Allen, 1903",NA,NA,NA,LC,Peterson's Chincilla Mouse
1039,8265,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,GALAGIDAE,Euoticus,Euoticus elegantulus,"(Le Conte, 1857)",NA,NA,NA,LC,Southern Needle-clawed Galago
1040,8266,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,GALAGIDAE,Euoticus,Euoticus pallidus,"(Gray, 1863)",NA,NA,NA,NT,Northern Needle-clawed Galago
1041,8269,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Eupetaurus,Eupetaurus cinereus,"Thomas, 1888",NA,NA,NA,EN,Woolly Flying Squirrel
1042,8306,ANIMALIA,CHORDATA,MAMMALIA,CINGULATA,CHLAMYPHORIDAE,Euphractus,Euphractus sexcinctus,"(Linnaeus, 1758)",NA,NA,NA,LC,Yellow Armadillo
1043,8385,ANIMALIA,CHORDATA,MAMMALIA,EULIPOTYPHLA,TALPIDAE,Euroscaptor,Euroscaptor mizura,"(Günther, 1880)",NA,NA,NA,LC,Japanese Mountain Mole
1044,8386,ANIMALIA,CHORDATA,MAMMALIA,EULIPOTYPHLA,TALPIDAE,Euroscaptor,Euroscaptor parvidens,"Miller, 1940",NA,NA,NA,DD,Small-toothed Mole
1045,8418,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,ECHIMYIDAE,Euryzygomatomys,Euryzygomatomys spinosus,"(G. Fischer, 1814)",NA,NA,NA,LC,Guiara
1046,8436,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Exilisciurus,Exilisciurus concinnus,"(Thomas, 1888)",NA,NA,NA,LC,Philippine Pygmy Squirrel
1047,8437,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Exilisciurus,Exilisciurus exilis,"(Müller, 1838)",NA,NA,NA,DD,Least Pygmy Squirrel
1048,8438,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Exilisciurus,Exilisciurus whiteheadi,"(Thomas, 1887)",NA,NA,NA,LC,Tufted Pygmy Squirrel
1049,8539,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Felis,Felis bieti,"Milne-Edwards, 1892",NA,NA,NA,VU,Chinese Mountain Cat
1050,8540,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Felis,Felis chaus,"Schreber, 1777",NA,NA,NA,LC,Jungle Cat
1051,8541,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Felis,Felis margarita,"Loche, 1858",NA,NA,NA,LC,Sand Cat
1052,8542,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Felis,Felis nigripes,"Burchell, 1824",NA,NA,NA,VU,Black-footed Cat
1053,8548,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CTENODACTYLIDAE,Felovia,Felovia vae,"Lataste, 1886",NA,NA,NA,LC,Felou Gundi
1054,8551,ANIMALIA,CHORDATA,MAMMALIA,ARTIODACTYLA,DELPHINIDAE,Feresa,Feresa attenuata,"Gray, 1875",NA,NA,NA,LC,Pygmy Killer Whale
1055,8553,ANIMALIA,CHORDATA,MAMMALIA,EULIPOTYPHLA,SORICIDAE,Feroculus,Feroculus feroculus,"(Kelaart, 1850)",NA,NA,NA,EN,Kelaart's Long-clawed Shrew
1056,8668,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,EUPLERIDAE,Fossa,Fossa fossana,"(P.L.S. Müller, 1776)",NA,NA,NA,VU,Spotted Fanaloka
1057,8700,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Funambulus,Funambulus layardi,"(Blyth, 1849)",NA,NA,NA,VU,Layard's Palm Squirrel
1058,8701,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Funambulus,Funambulus palmarum,"(Linnaeus, 1766)",NA,NA,NA,LC,Common Palm Squirrel
1059,8702,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Funambulus,Funambulus pennantii,"Wroughton, 1905",NA,NA,NA,LC,Five-striped Palm Squirrel
1060,8704,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Funambulus,Funambulus tristriatus,"(Waterhouse, 1837)",NA,NA,NA,LC,Western Ghats Striped Squirrel
1061,8755,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Funisciurus,Funisciurus carruthersi,"Thomas, 1906",NA,NA,NA,LC,Carruther's Mountain Squirrel
1062,8756,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Funisciurus,Funisciurus anerythrus,"(Thomas, 1890)",NA,NA,NA,LC,Thomas's Rope Squirrel
1063,8757,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Funisciurus,Funisciurus bayonii,"(Bocage, 1890)",NA,NA,NA,DD,Lunda Rope Squirrel
1064,8758,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Funisciurus,Funisciurus congicus,"(Kuhl, 1820)",NA,NA,NA,LC,Congo Rope Squirrel
1065,8759,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Funisciurus,Funisciurus isabella,"(Gray, 1862)",NA,NA,NA,LC,Lady Burton's Rope Squirrel
1066,8760,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Funisciurus,Funisciurus lemniscatus,"(Le Conte, 1857)",NA,NA,NA,LC,Ribboned Rope Squirrel
1067,8761,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Funisciurus,Funisciurus leucogenys,"(Waterhouse, 1842)",NA,NA,NA,LC,Orange Headed Tree Squirrel
1068,8762,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Funisciurus,Funisciurus pyrropus,"(F. Cuvier, 1833)",NA,NA,NA,LC,Fire-footed Rope Squirrel
1069,8763,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Funisciurus,Funisciurus substriatus,"De Winton, 1899",NA,NA,NA,DD,Kintampo Rope Squirrel
1070,8771,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,FURIPTERIDAE,Furipterus,Furipterus horrens,"(F. Cuvier, 1828)",NA,NA,NA,LC,Thumbless Bat
1071,8785,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,GALAGIDAE,Sciurocheirus,Sciurocheirus alleni,"(Waterhouse, 1838)",NA,NA,NA,NT,Allen's Galago
1072,8786,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,GALAGIDAE,Galago,Galago gallarum,"Thomas, 1901",NA,NA,NA,LC,Somali Lesser Galago
1073,8787,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,GALAGIDAE,Galago,Galago matschiei,"Lorenz, 1917",NA,NA,NA,LC,Spectacled Lesser Galago
1074,8788,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,GALAGIDAE,Galago,Galago moholi,"A. Smith, 1836",NA,NA,NA,LC,Southern Lesser Galago
1075,8789,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,GALAGIDAE,Galago,Galago senegalensis,"É. Geoffroy Saint-Hilaire, 1796",NA,NA,NA,LC,Northern Lesser Galago
1076,8790,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,GALAGIDAE,Paragalago,Paragalago zanzibaricus,"(Matschie, 1893)",NA,NA,NA,NT,Tanzania Coast Dwarf Galago
1077,8823,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CAVIIDAE,Galea,Galea flavidens,"(Brandt, 1835)",NA,NA,NA,LC,Yellow-toothed Cavy
1078,8825,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CAVIIDAE,Galea,Galea spixii,"(Wagler, 1831)",NA,NA,NA,LC,Spix's Yellow-toothed Cavy
1079,8826,ANIMALIA,CHORDATA,MAMMALIA,EULIPOTYPHLA,TALPIDAE,Galemys,Galemys pyrenaicus,"(E. Geoffroy St. Hilaire, 1811)",NA,NA,NA,EN,Iberian Desman
1080,8827,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Galenomys,Galenomys garleppi,"(Thomas, 1898)",NA,NA,NA,DD,Gerlepp's Mouse
1081,8833,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,EUPLERIDAE,Galidictis,Galidictis fasciata,"(Gmelin, 1788)",NA,NA,NA,VU,Broad-striped Vontsira
