"","taxonid","kingdom_name","phylum_name","class_name","order_name","family_name","genus_name","scientific_name","taxonomic_authority","infra_rank","infra_name","population","category","main_common_name"
"8135",22723075,"ANIMALIA","CHORDATA","AVES","PASSERIFORMES","THRAUPIDAE","Phrygilus","Phrygilus patagonicus","(Gould, 1839)",NA,NA,NA,"LC","Patagonian Sierra-finch"
"8136",22723080,"ANIMALIA","CHORDATA","AVES","PASSERIFORMES","THRAUPIDAE","Rhopospina","Rhopospina fruticeti","(Kittlitz, 1833)",NA,NA,NA,"LC","Mourning Sierra-finch"
"8137",22723085,"ANIMALIA","CHORDATA","AVES","PASSERIFORMES","THRAUPIDAE","Geospizopsis","Geospizopsis unicolor","(d'Orbigny &amp; Lafresnaye, 1837)",NA,NA,NA,"LC","Plumbeous Sierra-finch"
"8138",22723090,"ANIMALIA","CHORDATA","AVES","PASSERIFORMES","THRAUPIDAE","Ephippiospingus","Ephippiospingus dorsalis","Cabanis, 1883",NA,NA,NA,"LC","Red-backed Sierra-finch"
"8139",22723095,"ANIMALIA","CHORDATA","AVES","PASSERIFORMES","THRAUPIDAE","Ephippiospingus","Ephippiospingus erythronotus","(Philippi & Landbeck, 1861)",NA,NA,NA,"LC","White-throated Sierra-finch"
"8140",22723100,"ANIMALIA","CHORDATA","AVES","PASSERIFORMES","THRAUPIDAE","Geospizopsis","Geospizopsis plebejus","(Tschudi, 1844)",NA,NA,NA,"LC","Ash-breasted Sierra-finch"
"8141",22723105,"ANIMALIA","CHORDATA","AVES","PASSERIFORMES","THRAUPIDAE","Corydospiza","Corydospiza carbonaria","(d'Orbigny &amp; Lafresnaye, 1837)",NA,NA,NA,"LC","Carbon Sierra-finch"
"8142",22723110,"ANIMALIA","CHORDATA","AVES","PASSERIFORMES","THRAUPIDAE","Corydospiza","Corydospiza alaudina","(Kittlitz, 1833)",NA,NA,NA,"LC","Band-tailed Sierra-finch"
"8143",22723115,"ANIMALIA","CHORDATA","AVES","PASSERIFORMES","THRAUPIDAE","Melanodera","Melanodera melanodera","(Quoy & Gaimard, 1824)",NA,NA,NA,"LC","White-bridled Finch"
"8144",22723119,"ANIMALIA","CHORDATA","AVES","PASSERIFORMES","THRAUPIDAE","Melanodera","Melanodera xanthogramma","(Gould &amp; G.R. Gray, 1839)",NA,NA,NA,"LC","Yellow-bridled Finch"
"8145",22723122,"ANIMALIA","CHORDATA","AVES","PASSERIFORMES","THRAUPIDAE","Spodiornis","Spodiornis rusticus","(Tschudi, 1844)",NA,NA,NA,"LC","Slaty Finch"
"8146",22723125,"ANIMALIA","CHORDATA","AVES","PASSERIFORMES","THRAUPIDAE","Haplospiza","Haplospiza unicolor","Cabanis, 1851",NA,NA,NA,"LC","Uniform Finch"
"8147",22723128,"ANIMALIA","CHORDATA","AVES","PASSERIFORMES","THRAUPIDAE","Acanthidops","Acanthidops bairdi","Ridgway, 1882",NA,NA,NA,"LC","Peg-billed Finch"
"8148",22723137,"ANIMALIA","CHORDATA","AVES","PASSERIFORMES","THRAUPIDAE","Lophospingus","Lophospingus pusillus","(Burmeister, 1860)",NA,NA,NA,"LC","Black-crested Finch"
"8149",22723140,"ANIMALIA","CHORDATA","AVES","PASSERIFORMES","THRAUPIDAE","Lophospingus","Lophospingus griseocristatus","(d'Orbigny &amp; Lafresnaye, 1837)",NA,NA,NA,"LC","Grey-crested Finch"
"8150",22723144,"ANIMALIA","CHORDATA","AVES","PASSERIFORMES","THRAUPIDAE","Donacospiza","Donacospiza albifrons","(Vieillot, 1817)",NA,NA,NA,"LC","Long-tailed Reed-finch"
"8151",22723149,"ANIMALIA","CHORDATA","AVES","PASSERIFORMES","THRAUPIDAE","Rowettia","Rowettia goughensis","(Clarke, 1904)",NA,NA,NA,"CR","Gough Island Finch"
"8152",22723169,"ANIMALIA","CHORDATA","AVES","PASSERIFORMES","THRAUPIDAE","Chionodacryon","Chionodacryon speculiferum","(d'Orbigny &amp; Lafresnaye, 1837)",NA,NA,NA,"LC","Glacier Finch"
"8153",22723174,"ANIMALIA","CHORDATA","AVES","PASSERIFORMES","THRAUPIDAE","Diuca","Diuca diuca","(Molina, 1782)",NA,NA,NA,"LC","Common Diuca-finch"
"8154",22723179,"ANIMALIA","CHORDATA","AVES","PASSERIFORMES","THRAUPIDAE","Idiopsar","Idiopsar brachyurus","Cassin, 1866",NA,NA,NA,"LC","Boulder Finch"
"8155",22723182,"ANIMALIA","CHORDATA","AVES","PASSERIFORMES","THRAUPIDAE","Piezorina","Piezorina cinerea","(Lafresnaye, 1843)",NA,NA,NA,"LC","Cinereous Finch"
"8156",22723185,"ANIMALIA","CHORDATA","AVES","PASSERIFORMES","THRAUPIDAE","Xenospingus","Xenospingus concolor","(d'Orbigny &amp; Lafresnaye, 1837)",NA,NA,NA,"NT","Slender-billed Finch"
"8157",22723188,"ANIMALIA","CHORDATA","AVES","PASSERIFORMES","THRAUPIDAE","Incaspiza","Incaspiza pulchra","(Sclater, 1886)",NA,NA,NA,"LC","Great Inca-finch"
"8158",22723193,"ANIMALIA","CHORDATA","AVES","PASSERIFORMES","THRAUPIDAE","Incaspiza","Incaspiza personata","(Salvin, 1895)",NA,NA,NA,"LC","Rufous-backed Inca-finch"
"8159",22723198,"ANIMALIA","CHORDATA","AVES","PASSERIFORMES","THRAUPIDAE","Incaspiza","Incaspiza ortizi","Zimmer, 1952",NA,NA,NA,"LC","Grey-winged Inca-finch"
"8160",22723204,"ANIMALIA","CHORDATA","AVES","PASSERIFORMES","THRAUPIDAE","Incaspiza","Incaspiza laeta","(Salvin, 1895)",NA,NA,NA,"LC","Buff-bridled Inca-finch"
