"","IUCN_Species","Avonet_Species","Aquaculture","Climate_Change","Conflict","Crops","Dams_Water","Fire","Fishing","Geo_Event","Hunting","Inv_Disease","Livestock","Logging","Other_Develop","Plantations","Pollution","Rec_Work","category","Mass","Trophic_Niche","Genus","Genus_Avg_Mass","Genus_Trophic_data","Genus_Trophic","Body_Mass","Functional_Group"
"8835","Otus sunia","Otus sunia",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,"LC",78.1,"Invertivore","Otus",107.642592592593,49,"Invertivore",78.1,"Invertivore"
"8836","Leucosticte australis","Leucosticte australis",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"EN",26.6,"Granivore","Leucosticte",28.8666666666667,6,"Granivore",26.6,"Granivore"
"8837","Sula granti","Sula granti",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LC",1732.1,"Aquatic predator","Sula",1456.11666666667,6,"Aquatic predator",1732.1,"Aquatic predator"
"8838","Brachyramphus perdix","Brachyramphus perdix",0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,"NT",220,"Aquatic predator","Brachyramphus",224.666666666667,3,"Aquatic predator",220,"Aquatic predator"
"8839","Glaucidium costaricanum","Glaucidium costaricanum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LC",66,"Invertivore","Glaucidium",81.8178571428571,28,"Invertivore",66,"Invertivore"
"8840","Glaucidium griseiceps","Glaucidium griseiceps",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LC",50.6,"Invertivore","Glaucidium",81.8178571428571,28,"Invertivore",50.6,"Invertivore"
"8841","Glaucidium palmarum","Glaucidium palmarum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LC",45.7,"Vertivore","Glaucidium",81.8178571428571,28,"Invertivore",45.7,"Vertivore"
"8842","Anthracothorax veraguensis","Anthracothorax veraguensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LC",7,"Nectarivore","Anthracothorax",6.8,8,"Nectarivore",7,"Nectarivore"
"8843","Cynanthus auriceps","Chlorostilbon auriceps",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LC",2.6,"Nectarivore","Cynanthus",2.85,6,"Nectarivore",2.6,"Nectarivore"
"8844","Lampornis calolaemus","Lampornis calolaemus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LC",5.1,"Nectarivore","Lampornis",5.65,8,"Nectarivore",5.1,"Nectarivore"
"8845","Leuconotopicus arizonae","Leuconotopicus arizonae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LC",40.9,"Invertivore","Leuconotopicus",48.3,6,"Invertivore",40.9,"Invertivore"
"8846","Xiphorhynchus susurrans","Xiphorhynchus susurrans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LC",46.7,"Invertivore","Xiphorhynchus",40.8941176470588,17,"Invertivore",46.7,"Invertivore"
"8847","Thamnophilus atrinucha","Thamnophilus atrinucha",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LC",23.6,"Invertivore","Thamnophilus",24.246875,32,"Invertivore",23.6,"Invertivore"
"8848","Myrmotherula pacifica","Myrmotherula pacifica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LC",10.1,"Invertivore","Myrmotherula",8.4375,24,"Invertivore",10.1,"Invertivore"
"8849","Myrmothera dives","Hylopezus dives",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LC",44,"Invertivore","Myrmothera",46.48,5,"Invertivore",44,"Invertivore"
"8850","Scytalopus chocoensis","Scytalopus chocoensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LC",20,"Invertivore","Scytalopus",19.1227272727273,44,"Invertivore",20,"Invertivore"
"8851","Calyptophilus tertius","Calyptophilus tertius",0,0,0,2,0,0,0,0,0,2,0,2,0,0,0,0,"VU",49.2,"Invertivore","Calyptophilus",40.65,2,"Invertivore",49.2,"Invertivore"
"8852","Spindalis nigricephala","Spindalis nigricephala",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LC",45.1,"Frugivore","Spindalis",33,4,"Frugivore",45.1,"Frugivore"
"8853","Spindalis dominicensis","Spindalis dominicensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LC",29.4,"Frugivore","Spindalis",33,4,"Frugivore",29.4,"Frugivore"
"8854","Spindalis portoricensis","Spindalis portoricensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LC",32.1,"Frugivore","Spindalis",33,4,"Frugivore",32.1,"Frugivore"
"8855","Sporophila funerea","Sporophila funerea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LC",13,"Granivore","Sporophila",12.3883720930233,43,"Granivore",13,"Granivore"
